SHIP_TYPE,HB,WE_CLEAR,WE_DELIVER,RDL,ORIGIN,DEST,PORT_UNLADING,UNIT,QTY,WGT,WGT_UNIT,CARRIER,VOYAGE_FLIGHT,VESSEL_NAME,WE_ARRANGE,SHIP_GCI,SHIP_NAME,SHIP_CUSTOMER_ADDR1,SHIP_CUSTOMER_CITY,SHIP_CUSTOMER_STATE,SHIP_CUSTOMER_COUNTRY,SHIP_ZIP,END_CUSTOMER_GCI,END_CUSTOMER_NAME,END_CUSTOMER_ADDR1,END_CUSTOMER_CITY,END_CUSTOMER_STATE,END_CUSTOMER_COUNTRY,END_CUSTOMER_ZIP,FRT,FND,DOX,BKD,COB,ETA,AFD,APT,ENF,RLS,UCE,UCE_REMARKS,OFD,DLV,TOV,BNF,TNF,DOP,EDD,DLV_REMARKS,EDL,DLY,DLY_REMARKS,PHD,PHD_REMARKS,PHR,HLD,HLD_REMARKS,HLR,EXR,CPU,VCB,CDP,ADU,AMD,OSD,SERVICE_TYPE,SERVICE_LEVEL
AIR,1,N,N,,LAX,PEK,,PCS,4,8180,K,CO,292,,,G1,Destiny,100 Test Way,Los Angeles,CA,US,1234,G10,Orion,"Test.32 - test,test",Beijing,42,CN,2134,,7/12/2018,6/12/2018,6/12/2018,6/12/2021,6/16/2018,,,,,,,,,6/14/2018,6/14/2213,,,6/16/2018,,,,,,,,,,,,6/12/2018,,6/12/2018,,,,D/A,DEF
AIR,2,N,N,,LAX,PEK,,PCS,3,7626,K,CO,292,,,G1,Destiny,100 Test Way,Los Angeles,CA,US,1234,G10,Orion,"Test.32 - test,test",Beijing,42,CN,234123,,6/17/2018,6/17/2018,6/17/2018,6/17/2018,6/17/2018,,,,,,,,,,6/19/2018,,,6/20/2018,,,,,6/16/2018,01|J09:Freight Not Ready,6/17/2018,6/16/2018,,6/13/2018,,6/16/2018,,6/16/2018,,,,D/A,DEF
AIR,3,N,N,,IND,NAY,,PCS,5,97,K,BA,758,,Y,G2,Destiny,200 Sally Way,Indianapolis,IN,US,2345,G12,Orion,"Test.32 - test,test",Beijing,42,CN,44523,7/20/2018,,,7/20/2018,7/20/2018,7/26/2018,,,,,,,,,7/22/2018,7/22/2018,,,7/23/2018,"""Hello,this shipment has been delivered""",,,,,,,,,,,7/19/2018,,,,,,D/A,STD
AIR,4,N,Y,,ORD,CJC,CJC,PCS,6,4076,K,NH,702,,N,G3,Andiamo,300 Fake Way,CHICAGO,IL,US,12345T.12,G13,Voyager,TE ST TEST43-12,Calama,,CL,234,7/11/2018,3/11/2018,7/10/2018,7/13/2018,7/10/2018,7/14/2018,7/15/2018,,,,,,,7/23/2018,7/22/2018,,7/22/2018,,7/13/2018,,7/23/2018,,,7/11/2018,01|J17:Other-IPPC Marking Iss,,7/11/2018,,7/11/2018,,7/10/2018,,7/10/2018,7/15/2018,7/15/2018,,D/D,DEF
AIR,5,N,Y,,ORD,CJC,CJC,PCS,2,42000,K,NH,695,,,G3,Andiamo,300 Fake Way,CHICAGO,IL,US,12345,G14,Legacy,TE ST TEST43-13,Calama,,CL,3452364,4/16/2018,4/12/2018,4/15/2023,4/17/2018,4/17/2018,4/18/2018,4/18/2018,,,,,,,4/25/2018,4/23/2018,4/23/2018,4/23/2013,,,Delivered,4/25/2018,,,,,,,,,,4/15/2018,,4/15/2018,4/18/2018,4/18/2018,,D/D,EX
AIR,6,N,Y,,SFO,CJC,CJC,PCS,5,3220,K,LD,695,,Y,G4,Dream Catcher,400 Billy Way,"San, Francisco",CA,US,4567,G14,Legacy,TE ST TEST43-13,Calama,,CL,3452364,4/15/2018,4/15/2018,4/15/2018,4/17/2018,,5/12/2018,4/17/2018,,,,,,,4/21/2018,4/23/2018,4/23/2018,4/23/2018,,,Delivered,4/25/2018,,,,,,,,,,4/15/2018,,4/15/2018,,4/17/2018,,A/A,DEF
OCEAN,7,,,,CAK,CAG,CAG,PCS,7,3730,K,,,,N,G5,Spirit,"""500 Escape Way""",Akron,OH,US,4563,G16,Aurora,TEST 14 TEST TEST,Cagliari,,IT,12314 TS,,8/1/2017,8/1/2017,8/8/2017,8/8/2017,9/13/2017,9/14/2017,9/17/2017,9/14/2017,9/14/2017,8/2/2017,X29:TERMS-MISSING,,9/17/2017,,,9/15/2017,,9/14/2017,test12345,,9/14/2017,DELAY AT OTHER PORT,,,,,,,,7/23/2017,7/23/2017,7/24/2017,7/14/2017,7/14/2017,,,
OCEAN,8,N,Y,,SEA,BRU,SJC,PCS,12.5,895,K,AA,813,SERENITY,,G6,Odyssey,600 Blue Way,Seattle,WA,US,45345,G17,Magic (Test12),TEST23,Brussels,TS,BE,2345,10/1/2017,,10/14/2017,10/16/2017,10/18/2017,11/10/2017,11/16/2017,,,,,,,,11/18/2017,11/11/2017,11/19/2017,11/19/2017,11/17/2017,Tanya Tesco,,,,,,,,,,,,11/1/2017,,11/17/2017,11/17/2017,,,
OCEAN,9,N,Y,11/3/2021,SEA,BRU,SJC,PCS,4,1290,K,AC,813,SERENITY,Y,G6,Odyssey,600 Blue Way,Seattle,WA,US,345,G17,Magic (Test12),TEST23,Brussels,TS,BE,2345,10/7/2017,,10/14/2017,10/16/2017,10/17/2017,11/11/2017,11/17/2017,,,,,,,11/20/2017,11/18/2017,11/11/2017,13/19/2017,11/19/2017,11/17/2017,Tanya Tesco,,,,,,,,,,,,10/7/2017,,11/17/2017,11/17/2017,,,
OCEAN,10,,,8/29/2016,TPA,GRU,,PCS,36,7240,K,,,,Y,G7,Carpe Diem,800 WHITE Way,TAMPA,FL,US,6346,G19,Imagine / test,"Te st., TEST",Sao Paulo,,BR,12345 TS,,6/31/2016,7/3/2016,7/7/2016,7/6/2016,,7/22/2016,7/24/2016,7/23/2016,7/23/2016,,,,7/25/2016,,,,7/23/2016,7/22/2016,,,,,,,,,,,,6/28/2016,4/28/2016,,7/22/2016,7/22/2016,,,
